101	101	Fall	2013	ZIV BAR-JOSEPH	CB	2717	ALGORITHMS IN NATURE	A	Lect	7	12	58%	7	3.83	3.67	4	3.83	3.83	3.67	4	3.67	4	2013.8	02717 - ALGORITHMS IN NATURE
102	102	Spring	2016	WU	CB	2718	COM MEDICINE	A	Lect	16	12	67%	11.13	4.54	4.79	4.81	4.28	4.4	4.13	4.68	4.46	4.4	2016.1	02718 - COM MEDICINE
104	104	Spring	2014	CHRISTOPHER LANGMEAD	CB	2721	ALG COMP STRUCT BIO	A	Lect	4	5	80%	7	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	2014.1	02721 - ALG COMP STRUCT BIO
105	105	Fall	2012	CHRISTOPHER LANGMEAD	CB	2722	ADV ALGR CMP STR BIO	A	Lect	2	5	40%	5	4.5	4.5	4.5	4.5	5	4	5	4.5	4	2012.8	02722 - ADV ALGR CMP STR BIO
106	106	Spring	2010	JOEL STILES	CB	2730	CELL SYSTMS MODELING	A	Lect	2	4	50%	8	4	2	2.5	2	2.5	4	5	3.5	2	2010.1	02730 - CELL SYSTMS MODELING
107	107	Spring	2013	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	A	Lect	6	8	75%	14.33	4	4.17	4.5	4	4	4.5	4.83	4	4.17	2013.1	02730 - CELL SYSTMS MODELING
108	108	Spring	2011	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	A	Lect	6	11	55%	10.5	4.67	4.33	4.5	4.67	4.83	4.5	4.67	4.5	4.2	2011.1	02730 - CELL SYSTMS MODELING
109	109	Spring	2012	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	A	Lect	13	17	76%	10.5	4.15	4.15	4.23	4.23	4	4.08	4.54	4.23	3.69	2012.1	02730 - CELL SYSTMS MODELING
110	110	Fall	2014	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	1	Lect	5	6	83%	17.4	4.2	3.6	4.2	4	4	4	4.6	4.2	4	2014.8	02730 - CELL SYSTMS MODELING
111	111	Fall	2015	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	1	Lect	11	9	67%	13.45	4.36	4.73	4.55	4.18	4.55	5	4.91	4.36	4.18	2015.8	02730 - CELL SYSTMS MODELING
113	113	Fall	2013	CHRISTOPHER LANGMEAD	CB	2730	CELL SYSTMS MODELING	1	Lect	5	3	100%	8	4.8	4	4.4	3.2	3.8	4	4.8	4	3.2	2013.8	02730 - CELL SYSTMS MODELING
115	115	Fall	2016	ANDREAS PFENNING	CB	2730	CELL SYSTMS MODELING	1	Lect	6	7	86%	13.17	3.83	4.17	4.33	3.33	4.33	4.33	4.67	4	3.83	2016.8	02730 - CELL SYSTMS MODELING
116	116	Spring	2015	GE YANG	CB	2740	BIOIMAGE INFORMATICS	A	Lect	9	16	56%	12.78	4.5	4.22	4	3.89	4.33	4.11	4.56	4.11	3.67	2015.1	02740 - BIOIMAGE INFORMATICS
117	117	Spring	2014	GE YANG	CB	2740	BIOIMAGE INFORMATICS	A	Lect	7	10	70%	11.57	4.86	4.86	4.86	4.86	4.71	4.86	5	4.71	4.71	2014.1	02740 - BIOIMAGE INFORMATICS
118	118	Spring	2016	GE YANG	CB	2740	BIOIMAGE INFORMATICS	A	Lect	1	2	50%	11	5	4	4	3	5	4	5	4	4	2016.1	02740 - BIOIMAGE INFORMATICS
119	119	Spring	2012	GE YANG	CB	2740	BIOIMAGE INFORMTCS	A	Lect	2	5	40%	8	4.5	4.5	4.5	4	4	4.5	5	4.5	4.5	2012.1	02740 - BIOIMAGE INFORMTCS
120	120	Spring	2013	GE YANG	CB	2740	BIOIMAGE INFORMTCS	A	Lect	2	4	50%	5	4	5	4.5	4	4.5	4.5	5	4.5	4	2013.1	02740 - BIOIMAGE INFORMTCS
